"season","player_id","first_name","last_name","primary_position","hit_count"
"2010",8467881,"Taylor","Pyatt","LW",149
"2010",8467890,"Barret","Jackman","D",71
"2010",8467899,"Martin","Havlat","RW",34
"2010",8467906,"Jonas","Andersson","RW",3
"2010",8467910,"Nolan","Yonkman","D",41
"2010",8467915,"Mike","Commodore","D",38
"2010",8467917,"Jordan","Leopold","D",58
"2010",8467925,"Adam","Hall","RW",166
"2010",8467928,"Doug","Janik","D",2
"2010",8467931,"Matt","Carkner","D",69
"2010",8467937,"Michael","Zigomanis","C",6
"2010",8467943,"Niklas","Hagman","LW",34
"2010",8467964,"Mike","Comrie","C",10
"2010",8467967,"Chris","Kelly","C",108
"2010",8467988,"Ryan","Malone","LW",159
"2010",8468001,"Derek","MacKenzie","C",158
"2010",8468064,"Martin","Erat","RW",67
"2010",8468083,"Henrik","Zetterberg","C",44
"2010",8468085,"Radim","Vrbata","RW",43
"2010",8468086,"Alexandre","Giroux","LW",15
"2010",8468095,"George","Parros","RW",95
"2010",8468101,"Radek","Martinek","D",69
"2010",8468114,"Douglas","Murray","D",270
"2010",8468162,"Jerred","Smithson","C",181
"2010",8468172,"Ruslan","Fedotenko","LW",173
"2010",8468208,"Joel","Ward","RW",89
"2010",8468213,"Jim","Vandermeer","D",117
"2010",8468224,"Sean","Avery","LW",115
"2010",8468252,"Eric","Godard","RW",19
"2010",8468432,"Steve","Reinprecht","C",20
"2010",8468434,"Andy","McDonald","LW",38
"2010",8468463,"Mathieu","Darche","LW",86
"2010",8468478,"Mike","Weaver","D",96
"2010",8468482,"Dany","Heatley","LW",133
"2010",8468483,"Marian","Gaborik","RW",58
"2010",8468484,"Rostislav","Klesla","D",73
"2010",8468485,"Raffi","Torres","LW",186
"2010",8468486,"Scott","Hartnell","LW",193
"2010",8468493,"Ron","Hainsey","D",50
"2010",8468498,"Brooks","Orpik","D",213
"2010",8468500,"Alex","Frolov","LW",39
"2010",8468501,"Anton","Volchenkov","D",125
"2010",8468502,"David","Hale","D",29
"2010",8468504,"Brad","Boyes","RW",67
"2010",8468505,"Steve","Ott","C",247
"2010",8468506,"Brian","Sutherby","C",68
"2010",8468508,"Justin","Williams","RW",52
"2010",8468509,"Niklas","Kronwall","D",139
"2010",8468513,"Nick","Schultz","D",76
"2010",8468515,"Brad","Winchester","LW",163
"2010",8468518,"Tomas","Kopecky","RW",72
"2010",8468520,"Kurtis","Foster","D",87
"2010",8468526,"Jarret","Stoll","C",175
"2010",8468534,"Andreas","Lilja","D",92
"2010",8468535,"Antoine","Vermette","C",122
"2010",8468542,"Paul","Martin","D",49
"2010",8468575,"Dominic","Moore","C",95
"2010",8468577,"Niclas","Wallin","D",131
"2010",8468598,"Lubomir","Visnovsky","D",55
"2010",8468599,"Brian","Fahey","D",9
"2010",8468611,"Matt","Hendricks","C",181
"2010",8468626,"David","Koci","LW",28
"2010",8468635,"Travis","Moen","LW",139
"2010",8468636,"Greg","Zanon","D",164
"2010",8468639,"John-Michael","Liles","D",57
"2010",8468660,"Darcy","Hordichuk","LW",115
"2010",8468674,"Deryk","Engelland","D",120
"2010",8468700,"Paul","Gaustad","C",137
"2010",8468704,"Antti","Miettinen","RW",105
"2010",8468778,"Colton","Orr","RW",46
"2010",8468789,"Jason","Williams","C",14
"2010",8468846,"Tyler","Sloan","D",30
"2010",8468887,"Warren","Peters","C",23
"2010",8468927,"Steve","Montador","D",93
"2010",8469120,"Raitis","Ivanans","LW",1
"2010",8469454,"Ilya","Kovalchuk","RW",28
"2010",8469455,"Jason","Spezza","C",14
"2010",8469457,"Stephen","Weiss","C",52
